Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),1TB Fusion Drive,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),1TB SSD,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),256GB SSD,350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),2TB Fusion Drive,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),512GB SSD,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),1TB Fusion Drive,500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),1TB SSD,550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),256GB SSD,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),2TB Fusion Drive,625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),3TB Fusion Drive,700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),512GB SSD,500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Mid 2020),256GB SSD,650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.3GHz 27 inch (Mid 2020),1TB SSD,825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.3GHz 27 inch (Mid 2020),2TB SSD,950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.3GHz 27 inch (Mid 2020),512GB SSD,775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.4GHz 27 inch (Mid 2017),1TB Fusion Drive,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.4GHz 27 inch (Mid 2017),1TB SSD,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.4GHz 27 inch (Mid 2017),256GB SSD,275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.4GHz 27 inch (Mid 2017),2TB Fusion Drive,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.4GHz 27 inch (Mid 2017),512GB SSD,300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),1TB Fusion Drive,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),1TB SSD,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),256GB SSD,275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),2TB Fusion Drive,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),3TB Fusion Drive,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac i5 3.5GHz 27 inch (Mid 2017),512GB SSD,300,https://compasia.my/pages/trade-in
