Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Apple Watch,Watch SE (2022),"40mm, 1GB/32GB, GPS, Aluminium",150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE (2022),"40mm, 1GB/32GB, GPS & Cellular, Aluminium",175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE (2022),"44mm, 1GB/32GB, GPS, Aluminium",175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE (2022),"44mm, 1GB/32GB, GPS & Cellular, Aluminium",225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE 3 (2025),"40mm, GPS, Aluminium",575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE 3 (2025),"40mm, GPS & Cellular, Aluminium",675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE 3 (2025),"44mm, GPS, Aluminium",700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE 3 (2025),"44mm, GPS & Cellular, Aluminium",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE,"40mm, 1GB/32GB, GPS, Aluminium",70,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE,"40mm, 1GB/32GB, GPS & Cellular, Aluminium",85,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE,"44mm, 1GB/32GB, GPS, Aluminium",85,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch SE,"44mm, 1GB/32GB, GPS & Cellular, Aluminium",110,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"42mm, 64GB, GPS, Aluminium",550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"42mm, 64GB, GPS & Cellular, Aluminium",625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"42mm, 64GB, GPS & Cellular, Titanium",1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"46mm, 64GB, GPS, Aluminium",575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"46mm, 64GB, GPS & Cellular, Aluminium",750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10,"46mm, 64GB, GPS & Cellular, Titanium",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10 Hermes,"42mm, 64GB, GPS & Cellular, Titanium",1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 10 Hermes,"46mm, 64GB, GPS & Cellular, Titanium",1095,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"42mm, GPS, Aluminium",950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"42mm, GPS & Cellular, Aluminium",1225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"42mm, GPS & Cellular, Titanium",1700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"46mm, GPS, Aluminium",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"46mm, GPS & Cellular, Aluminium",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11,"46mm, GPS & Cellular, Titanium",1825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11 Hermes,"42mm, GPS & Cellular, Titanium",2050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 11 Hermes,"46mm, GPS & Cellular, Titanium",2150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"40mm, 1GB/16GB, GPS, Aluminium",50,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"40mm, 1GB/32GB, GPS & Cellular, Aluminium",50,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Apple Watch,Watch Series 5,"40mm, 1GB/32GB, GPS & Cellular, Stainless Steel",50,https://compasia.my/pages/trade-in
