Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/256GB, Wi-Fi",800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/64GB, Wi-Fi",600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/256GB, Cellular",975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/64GB, Cellular",750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/128GB, Wi-Fi",600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/256GB, Wi-Fi",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/512GB, Wi-Fi",1075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/128GB, Cellular",800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/256GB, Cellular",1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/512GB, Cellular",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/128GB, Wi-Fi",225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/32GB, Wi-Fi",125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/128GB, Cellular",325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/32GB, Cellular",150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/128GB, Wi-Fi",300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/32GB, Wi-Fi",225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/128GB, Cellular",400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/32GB, Cellular",300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/256GB, Wi-Fi",525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/64GB, Wi-Fi",350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/256GB, Cellular",650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/64GB, Cellular",525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/128GB, Wi-Fi",1225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/1TB, Wi-Fi",2175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/256GB, Wi-Fi",1425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/512GB, Wi-Fi",1825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/128GB, Cellular",1600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/1TB, Cellular",2575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/256GB, Cellular",1825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/512GB, Cellular",2200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/128GB, Wi-Fi",1600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/1TB, Wi-Fi",2400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/256GB, Wi-Fi",1800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/512GB, Wi-Fi",2050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/128GB, Cellular",1875,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/1TB, Cellular",2700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/256GB, Cellular",2100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/512GB, Cellular",2400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/128GB, Wi-Fi",1250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/1TB, Wi-Fi",2075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/256GB, Wi-Fi",1425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/512GB, Wi-Fi",1750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/128GB, Cellular",1525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/1TB, Cellular",2300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/256GB, Cellular",1725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 13-inch,"8GB/512GB, Cellular",2075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/256GB, Wi-Fi",725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/64GB, Wi-Fi",550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/256GB, Cellular",845,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 4,"4GB/64GB, Cellular",720,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/256GB, Wi-Fi",975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Air 5,"8GB/64GB, Wi-Fi",835,https://compasia.my/pages/trade-in
