Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPhone,iPhone 11,128GB,390,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11,256GB,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11,64GB,340,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,256GB,490,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,512GB,575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,64GB,415,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,256GB,550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,512GB,625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,64GB,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12,128GB,500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12,256GB,575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12,64GB,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Mini,128GB,375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Mini,256GB,400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Mini,64GB,300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,128GB,625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,256GB,700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,512GB,750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,128GB,800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,256GB,900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,512GB,975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13,128GB,740,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13,256GB,840,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13,512GB,900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Mini,128GB,550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Mini,256GB,600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Mini,512GB,675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,128GB,975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,1TB,1250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,256GB,1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,512GB,1140,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,128GB,1100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,1TB,1450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,256GB,1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,512GB,1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14,128GB,925,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14,256GB,1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14,512GB,1100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),128GB,850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),256GB,935,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),512GB,1020,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,128GB,1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,256GB,1100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus,512GB,1225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),128GB,895,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),256GB,985,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Plus (eSIM),512GB,1080,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,128GB,1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,1TB,1675,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro,512GB,1600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),128GB,1140,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),1TB,1465,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),256GB,1310,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro (eSIM),512GB,1375,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,128GB,1575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,1TB,1975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,256GB,1700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max,512GB,1835,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),128GB,1350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),1TB,1700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),256GB,1445,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),512GB,1560,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15,128GB,1460,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15,256GB,1625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15,512GB,1775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),128GB,1210,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),256GB,1320,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),512GB,1445,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus,128GB,1550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus,256GB,1775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),128GB,1295,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),256GB,1440,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),512GB,1640,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,128GB,1725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,1TB,2350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,256GB,2000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,512GB,2125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),128GB,1535,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),1TB,2050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),256GB,1665,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),512GB,1830,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,1TB,2650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,256GB,2200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,512GB,2425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),1TB,2340,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),256GB,1830,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),512GB,2090,https://compasia.my/pages/trade-in
