Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 2),Wired Charging,30,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 2),Wireless Charging,40,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 3),Lightning Charging,60,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 3),MagSafe Charging,80,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 4),ANC + USB-C,130,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods (Gen 4),USB-C,110,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods Max,Lightning Charging,250,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods Max,USB-C,320,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods Pro (Gen 1),,60,AirPods Pro (Gen 1),2019.0,AirPods,AirPods Pro,1.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods Pro (Gen 2),,110,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,iTworld,AirPods,AirPods Pro (Gen 2),USB-C,150,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (2nd Gen),Wired Charging,20,AirPods (2nd Gen),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (2nd Gen),Wireless Charging,35,AirPods (2nd Gen),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (3rd Gen),Lightning Charging,50,AirPods (3rd Gen),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (3rd Gen),MagSafe Charging,65,AirPods (3rd Gen),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (4th Gen),USB-C,90,AirPods (4th Gen),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods (4th Gen with Active Noise Cancellation),USB-C,110,AirPods (4th Gen with Active Noise Cancellation),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Pro (1st Gen),,50,AirPods Pro (1st Gen),2019.0,AirPods,AirPods Pro,1.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Pro (1st Gen),MagSafe Charging,65,AirPods Pro (1st Gen),2019.0,AirPods,AirPods Pro,1.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Pro (2nd Gen),,95,AirPods Pro (2nd Gen),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Pro (2nd Gen),USB-C,125,AirPods Pro (2nd Gen),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Pro (3rd Gen),,475,AirPods Pro (3rd Gen),2025.0,AirPods,AirPods Pro,3.0,,,,,,,,,
,Retailer Trade-in,Machines,AirPods,AirPods Max,,275,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 2),Wired Charging,30,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 2),Wireless Charging,40,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 3),Lightning Charging,60,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 3),MagSafe Charging,80,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 4),"Active Noise Cancellation, USB-C",130,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods (Gen 4),USB-C,110,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods Max,Lightning Charging,250,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods Max,USB-C,320,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods Pro (Gen 1),,60,AirPods Pro (Gen 1),2019.0,AirPods,AirPods Pro,1.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods Pro (Gen 2),,110,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,Switch,AirPods,AirPods Pro (Gen 2),USB-C,150,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 2),Wired Charging,30,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 2),Wireless Charging,40,AirPods (Gen 2),2019.0,AirPods,AirPods,2.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 3),Lightning Charging,60,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 3),MagSafe Charging,80,AirPods (Gen 3),2021.0,AirPods,AirPods,3.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 4),"Active Noise Cancellation, USB-C",130,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods (Gen 4),USB-C,110,AirPods (Gen 4),2024.0,AirPods,AirPods,4.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods Max,Lightning Charging,250,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods Max,USB-C,320,AirPods Max,2020.0,AirPods,AirPods Max,,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods Pro (Gen 1),,60,AirPods Pro (Gen 1),2019.0,AirPods,AirPods Pro,1.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods Pro (Gen 2),,110,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
,Retailer Trade-in,UR,AirPods,AirPods Pro (Gen 2),USB-C,150,AirPods Pro (Gen 2),2022.0,AirPods,AirPods Pro,2.0,,,,,,,,,
