Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/256GB, Wi-Fi",800,iPad 10,2022.0,iPad,iPad,10.0,,,,,4.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/64GB, Wi-Fi",600,iPad 10,2022.0,iPad,iPad,10.0,,,,,4.0,64.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/256GB, Cellular",975,iPad 10,2022.0,iPad,iPad,10.0,,,,,4.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 10,"4GB/64GB, Cellular",750,iPad 10,2022.0,iPad,iPad,10.0,,,,,4.0,64.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/128GB, Wi-Fi",600,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/256GB, Wi-Fi",775,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/512GB, Wi-Fi",1075,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/128GB, Cellular",800,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/256GB, Cellular",1000,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 11,"4GB/512GB, Cellular",1325,iPad 11,2025.0,iPad,iPad,11.0,,,,,4.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/128GB, Wi-Fi",225,iPad 7,2019.0,iPad,iPad,7.0,,,,,3.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/32GB, Wi-Fi",125,iPad 7,2019.0,iPad,iPad,7.0,,,,,3.0,32.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/128GB, Cellular",325,iPad 7,2019.0,iPad,iPad,7.0,,,,,3.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 7,"3GB/32GB, Cellular",150,iPad 7,2019.0,iPad,iPad,7.0,,,,,3.0,32.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/128GB, Wi-Fi",300,iPad 8,2020.0,iPad,iPad,8.0,,,,,3.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/32GB, Wi-Fi",225,iPad 8,2020.0,iPad,iPad,8.0,,,,,3.0,32.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/128GB, Cellular",400,iPad 8,2020.0,iPad,iPad,8.0,,,,,3.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 8,"3GB/32GB, Cellular",300,iPad 8,2020.0,iPad,iPad,8.0,,,,,3.0,32.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/256GB, Wi-Fi",525,iPad 9,2021.0,iPad,iPad,9.0,,,,,3.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/64GB, Wi-Fi",350,iPad 9,2021.0,iPad,iPad,9.0,,,,,3.0,64.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/256GB, Cellular",650,iPad 9,2021.0,iPad,iPad,9.0,,,,,3.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad 9,"3GB/64GB, Cellular",525,iPad 9,2021.0,iPad,iPad,9.0,,,,,3.0,64.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/128GB, Wi-Fi",1225,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/1TB, Wi-Fi",2175,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/256GB, Wi-Fi",1425,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/512GB, Wi-Fi",1825,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/128GB, Cellular",1600,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/1TB, Cellular",2575,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/256GB, Cellular",1825,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 11-inch (M3, 2025)","8GB/512GB, Cellular",2200,"iPad Air 11-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,11.0,,M3,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/128GB, Wi-Fi",1600,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Air 13-inch (M3, 2025)","8GB/1TB, Wi-Fi",2400,"iPad Air 13-inch (M3, 2025)",2025.0,iPad,iPad Air,,2025,13.0,,M3,8.0,1024.0,,Wi-Fi,
