Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPhone,iPhone 11,128GB,390,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11,256GB,450,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11,64GB,340,iPhone 11,2019.0,iPhone,iPhone 11,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,256GB,490,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,512GB,575,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro,64GB,415,iPhone 11 Pro,2019.0,iPhone,iPhone 11 Pro,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,256GB,550,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,512GB,625,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 11 Pro Max,64GB,475,iPhone 11 Pro Max,2019.0,iPhone,iPhone 11 Pro Max,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12,128GB,500,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12,256GB,575,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12,64GB,450,iPhone 12,2020.0,iPhone,iPhone 12,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 mini,128GB,375,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 mini,256GB,400,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 mini,64GB,300,iPhone 12 mini,2020.0,iPhone,iPhone 12 mini,,,,,,,64.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,128GB,625,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,256GB,700,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro,512GB,750,iPhone 12 Pro,2020.0,iPhone,iPhone 12 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,128GB,800,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,256GB,900,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 12 Pro Max,512GB,975,iPhone 12 Pro Max,2020.0,iPhone,iPhone 12 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13,128GB,740,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13,256GB,840,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13,512GB,900,iPhone 13,2021.0,iPhone,iPhone 13,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 mini,128GB,550,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 mini,256GB,600,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 mini,512GB,675,iPhone 13 mini,2021.0,iPhone,iPhone 13 mini,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,128GB,975,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,1TB,1250,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,256GB,1050,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro,512GB,1140,iPhone 13 Pro,2021.0,iPhone,iPhone 13 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,128GB,1100,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,1TB,1450,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,256GB,1275,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 13 Pro Max,512GB,1325,iPhone 13 Pro Max,2021.0,iPhone,iPhone 13 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14,128GB,925,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14,256GB,1000,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14,512GB,1100,iPhone 14,2022.0,iPhone,iPhone 14,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 (eSIM),128GB,850,iPhone 14 (eSIM),2022.0,iPhone,iPhone 14,,,,,,,128.0,,,
