Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),1TB Fusion Drive,425,iMac i5 3.0GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.0GHz,i5,,1024.0,Fusion Drive,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),1TB SSD,450,iMac i5 3.0GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.0GHz,i5,,1024.0,SSD,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),256GB SSD,350,iMac i5 3.0GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.0GHz,i5,,256.0,SSD,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),2TB Fusion Drive,475,iMac i5 3.0GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.0GHz,i5,,2048.0,Fusion Drive,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.0GHz 27 inch (Early 2019),512GB SSD,425,iMac i5 3.0GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.0GHz,i5,,512.0,SSD,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),1TB Fusion Drive,500,iMac i5 3.1GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.1GHz,i5,,1024.0,Fusion Drive,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),1TB SSD,550,iMac i5 3.1GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.1GHz,i5,,1024.0,SSD,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),256GB SSD,450,iMac i5 3.1GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.1GHz,i5,,256.0,SSD,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),2TB Fusion Drive,625,iMac i5 3.1GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.1GHz,i5,,2048.0,Fusion Drive,,
,Trade-in Platform,CompAsia,Mac,iMac i5 3.1GHz 27 inch (Early 2019),3TB Fusion Drive,700,iMac i5 3.1GHz 27 inch (Early 2019),2019.0,Mac,iMac,,Early 2019,27.0,3.1GHz,i5,,3072.0,Fusion Drive,,
