Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,Watch,Watch SE (2022),"40mm, 1GB/32GB, GPS, Aluminium",150,Watch SE (2022),2022.0,Apple Watch,Apple Watch SE,,2022,40.0,,,1.0,32.0,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE (2022),"40mm, 1GB/32GB, GPS & Cellular, Aluminium",175,Watch SE (2022),2022.0,Apple Watch,Apple Watch SE,,2022,40.0,,,1.0,32.0,,Cellular,
,Trade-in Platform,CompAsia,Watch,Watch SE (2022),"44mm, 1GB/32GB, GPS, Aluminium",175,Watch SE (2022),2022.0,Apple Watch,Apple Watch SE,,2022,44.0,,,1.0,32.0,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE (2022),"44mm, 1GB/32GB, GPS & Cellular, Aluminium",225,Watch SE (2022),2022.0,Apple Watch,Apple Watch SE,,2022,44.0,,,1.0,32.0,,Cellular,
,Trade-in Platform,CompAsia,Watch,Watch SE 3 (2025),"40mm, GPS, Aluminium",575,Watch SE 3 (2025),2025.0,Apple Watch,Apple Watch SE,3.0,2025,40.0,,,,,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE 3 (2025),"40mm, GPS & Cellular, Aluminium",675,Watch SE 3 (2025),2025.0,Apple Watch,Apple Watch SE,3.0,2025,40.0,,,,,,Cellular,
,Trade-in Platform,CompAsia,Watch,Watch SE 3 (2025),"44mm, GPS, Aluminium",700,Watch SE 3 (2025),2025.0,Apple Watch,Apple Watch SE,3.0,2025,44.0,,,,,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE 3 (2025),"44mm, GPS & Cellular, Aluminium",775,Watch SE 3 (2025),2025.0,Apple Watch,Apple Watch SE,3.0,2025,44.0,,,,,,Cellular,
,Trade-in Platform,CompAsia,Watch,Watch SE,"40mm, 1GB/32GB, GPS, Aluminium",70,Watch SE,2020.0,Apple Watch,Apple Watch SE,4.0,,40.0,,,1.0,32.0,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE,"40mm, 1GB/32GB, GPS & Cellular, Aluminium",85,Watch SE,2020.0,Apple Watch,Apple Watch SE,4.0,,40.0,,,1.0,32.0,,Cellular,
,Trade-in Platform,CompAsia,Watch,Watch SE,"44mm, 1GB/32GB, GPS, Aluminium",85,Watch SE,2020.0,Apple Watch,Apple Watch SE,4.0,,44.0,,,1.0,32.0,,gps,
,Trade-in Platform,CompAsia,Watch,Watch SE,"44mm, 1GB/32GB, GPS & Cellular, Aluminium",110,Watch SE,2020.0,Apple Watch,Apple Watch SE,4.0,,44.0,,,1.0,32.0,,Cellular,
