Category,Model,Storage,Model Number,Display,Year,Chipset,Price
Pad,iPad 7 Wi-Fi,32GB,A2197,"10.2""",2019,A10,160
Pad,iPad 7 Wi-Fi,128GB,A2197,"10.2""",2019,A10,260
Pad,iPad 7 Wi-Fi + Cellular,32GB,A2200 / A2198,"10.2""",2019,A10,180
Pad,iPad 7 Wi-Fi + Cellular,128GB,A2200 / A2198,"10.2""",2019,A10,360
Pad,iPad 8 Wi-Fi,32GB,A2270,"10.2""",2020,A12,210
Pad,iPad 8 Wi-Fi,128GB,A2270,"10.2""",2020,A12,310
Pad,iPad 8 Wi-Fi + Cellular,32GB,A2428 / A2429 / A2430,"10.2""",2020,A12,310
Pad,iPad 8 Wi-Fi + Cellular,128GB,A2428 / A2429 / A2430,"10.2""",2020,A12,410
Pad,iPad 9 Wi-Fi,64GB,A2602,"10.2""",2021,A13,360
Pad,iPad 9 Wi-Fi,256GB,A2602,"10.2""",2021,A13,530
Pad,iPad 9 Wi-Fi + Cellular,64GB,A2603 / A2604 / A2605,"10.2""",2021,A13,530
Pad,iPad 9 Wi-Fi + Cellular,256GB,A2603 / A2604 / A2605,"10.2""",2021,A13,660
Pad,iPad 10 Wi-Fi,64GB,A2696,"10.9""",2022,A14,620
Pad,iPad 10 Wi-Fi,256GB,A2696,"10.9""",2022,A14,810
Pad,iPad 10 Wi-Fi + Cellular,64GB,A2757 / A2777,"10.9""",2022,A14,760
Pad,iPad 10 Wi-Fi + Cellular,256GB,A2757 / A2777,"10.9""",2022,A14,980
Pad,iPad 11 Wi-Fi,128GB,A3354,"11""",2025,A16,650
Pad,iPad 11 Wi-Fi,256GB,A3354,"11""",2025,A16,830
Pad,iPad 11 Wi-Fi,512GB,A3354,"11""",2025,A16,1120
Pad,iPad 11 Wi-Fi + Cellular,128GB,A3355 / A3356,"11""",2025,A16,850
Pad,iPad 11 Wi-Fi + Cellular,256GB,A3355 / A3356,"11""",2025,A16,1050
Pad,iPad 11 Wi-Fi + Cellular,512GB,A3355 / A3356,"11""",2025,A16,1380
Pad,iPad Air 3 Wi-Fi,64GB,A2152,"10.5""",2019,A12,260
Pad,iPad Air 3 Wi-Fi,256GB,A2152,"10.5""",2019,A12,410
Pad,iPad Air 3 Wi-Fi + Cellular,64GB,A2123/ A2153 / A2154,"10.5""",2019,A12,360
Pad,iPad Air 3 Wi-Fi + Cellular,256GB,A2123/ A2153 / A2154,"10.5""",2019,A12,510
Pad,iPad Air 4 Wi-Fi,64GB,A2316,"10.9""",2020,A14,570
Pad,iPad Air 4 Wi-Fi,256GB,A2316,"10.9""",2020,A14,730
Pad,iPad Air 4 Wi-Fi + Cellular,64GB,A2324 / A2325 / A2072,"10.9""",2020,A14,740
Pad,iPad Air 4 Wi-Fi + Cellular,256GB,A2324 / A2325 / A2072,"10.9""",2020,A14,860
Pad,iPad Air 5 Wi-Fi,64GB,A2588,"10.9""",2022,M1,850
Pad,iPad Air 5 Wi-Fi,256GB,A2588,"10.9""",2022,M1,990
Pad,iPad Air 5 Wi-Fi + Cellular,64GB,A2589 / A2591,"10.9""",2022,M1,990
Pad,iPad Air 5 Wi-Fi + Cellular,256GB,A2589 / A2591,"10.9""",2022,M1,1080
Pad,iPad Air 6 11-inch (M2) Wi-Fi,128GB,A2902,"11""",2024,M2,1160
Pad,iPad Air 6 11-inch (M2) Wi-Fi,256GB,A2902,"11""",2024,M2,1380
Pad,iPad Air 6 11-inch (M2) Wi-Fi,512GB,A2902,"11""",2024,M2,1580
