Device,Sub-device,Provider,Tier,FitGroup,n_rows,n_distinct_ages,form,a,b,rmse,r2,relative_r2,max_observed_retention,a_hit_ceiling
AirPods,(device-level),Machines,2_device_provider,AirPods | (device-level) | Machines,12,6,power_law,1.08684,1.53506,0.03846,0.88928,0.96018,0.47548,False
AirPods,(device-level),Switch,2_device_provider,AirPods | (device-level) | Switch,11,5,exponential,0.31988,0.25273,0.0252,0.76863,0.90215,0.21703,False
AirPods,(device-level),UR,2_device_provider,AirPods | (device-level) | UR,11,5,exponential,0.31988,0.25273,0.0252,0.76863,0.90215,0.21703,False
AirPods,(device-level),iTworld,2_device_provider,AirPods | (device-level) | iTworld,11,5,exponential,0.31988,0.25273,0.0252,0.76863,0.90215,0.21703,False
AirPods,(pooled),(pooled),3_device_only,"AirPods | (pooled, all providers)",45,6,power_law,1.12542,1.47991,0.03144,0.8235,0.96653,0.47548,False
Apple Watch,Watch Series,CompAsia,1_subdevice_provider,Apple Watch | Watch Series | CompAsia,50,7,exponential,0.78303,0.45723,0.06933,0.84482,0.99095,0.73652,False
Apple Watch,Watch Series,Machines,1_subdevice_provider,Apple Watch | Watch Series | Machines,50,7,exponential,0.78303,0.45723,0.06933,0.84482,0.99095,0.73652,False
Apple Watch,Watch Series,Switch,1_subdevice_provider,Apple Watch | Watch Series | Switch,44,7,exponential,0.71498,0.40741,0.04091,0.82187,0.99135,0.4169,False
Apple Watch,Watch Series,UR,1_subdevice_provider,Apple Watch | Watch Series | UR,44,7,exponential,0.71498,0.40741,0.04091,0.82187,0.99135,0.4169,False
Apple Watch,Watch Series,iTworld,1_subdevice_provider,Apple Watch | Watch Series | iTworld,44,7,exponential,0.71498,0.40741,0.04091,0.82187,0.99135,0.4169,False
Apple Watch,(device-level),CompAsia,2_device_provider,Apple Watch | (device-level) | CompAsia,68,7,exponential,0.77794,0.45682,0.07786,0.83622,0.99112,0.7388,False
Apple Watch,(device-level),Machines,2_device_provider,Apple Watch | (device-level) | Machines,68,7,exponential,0.77794,0.45682,0.07786,0.83622,0.99112,0.7388,False
Apple Watch,(device-level),Switch,2_device_provider,Apple Watch | (device-level) | Switch,54,7,exponential,0.74092,0.41246,0.04199,0.79844,0.99276,0.4169,False
Apple Watch,(device-level),UR,2_device_provider,Apple Watch | (device-level) | UR,54,7,exponential,0.74092,0.41246,0.04199,0.79844,0.99276,0.4169,False
Apple Watch,(device-level),iTworld,2_device_provider,Apple Watch | (device-level) | iTworld,54,7,exponential,0.74092,0.41246,0.04199,0.79844,0.99276,0.4169,False
Apple Watch,(pooled),(pooled),3_device_only,"Apple Watch | (pooled, all providers)",298,8,exponential,0.74163,0.42484,0.06185,0.84009,0.99524,0.7388,False
Mac,Mac mini,CompAsia,1_subdevice_provider,Mac | Mac mini | CompAsia,58,4,power_law,0.26146,0.80353,0.1375,-0.00338,0.90977,0.41677,False
Mac,MacBook Air,CompAsia,1_subdevice_provider,Mac | MacBook Air | CompAsia,65,8,exponential,0.71924,0.31933,0.03101,0.96758,0.98911,0.57152,False
