Category,Model Name,Year,Model Number,Storage,Price,Battery,Screen,LCD,Housing,F/Camera,R/Camera
PHONE,IPHONE 17 PRO MAX,2025,A3257 / A3525 / A3527 / A3526,256GB,3400,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO MAX,2025,A3257 / A3525 / A3527 / A3526,512GB,3980,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO MAX,2025,A3257 / A3525 / A3527 / A3526,1TB,4580,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO MAX,2025,A3257 / A3525 / A3527 / A3526,2TB,5720,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO,2025,A3256 / A3522 / A3524 / A3523,256GB,3120,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO,2025,A3256 / A3522 / A3524 / A3523,512GB,3590,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17 PRO,2025,A3256 / A3522 / A3524 / A3523,1TB,4130,-600,-500,-2400,-400,-430,-950
PHONE,IPHONE 17,2025,A3258 / A3519 / A3521 / A3520,256GB,2210,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 17,2025,A3258 / A3519 / A3521 / A3520,512GB,2690,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 17e,2026,A3575 / A3635 / A3634,256GB,1820,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 17e,2026,A3575 / A3635 / A3634,512GB,2450,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE AIR,2025,A3260 / A3516 / A3518 / A3517,256GB,2200,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE AIR,2025,A3260 / A3516 / A3518 / A3517,512GB,2400,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE AIR,2025,A3260 / A3516 / A3518 / A3517,1TB,2800,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 16 PRO MAX,2024,A3084 / A3295 / A3297 / A3296,256GB,3100,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 16 PRO MAX,2024,A3084 / A3295 / A3297 / A3296,512GB,3320,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 16 PRO MAX,2024,A3084 / A3295 / A3297 / A3296,1TB,3700,-500,-400,-2200,-300,-380,-900
PHONE,IPHONE 16 PRO,2024,A3083 / A3292 / A3294 / A3293,128GB,2330,-500,-400,-1800,-300,-380,-900
PHONE,IPHONE 16 PRO,2024,A3083 / A3292 / A3294 / A3293,256GB,2560,-500,-400,-1800,-300,-380,-900
PHONE,IPHONE 16 PRO,2024,A3083 / A3292 / A3294 / A3293,512GB,2950,-500,-400,-1800,-300,-380,-900
PHONE,IPHONE 16 PRO,2024,A3083 / A3292 / A3294 / A3293,1TB,3400,-500,-400,-1800,-300,-380,-900
PHONE,IPHONE 16 PLUS,2024,A3082 / A3289 / A3291 / A3290,128GB,2140,-500,-200,-1280,-180,-380,-900
PHONE,IPHONE 16 PLUS,2024,A3082 / A3289 / A3291 / A3290,256GB,2350,-500,-200,-1280,-180,-380,-900
PHONE,IPHONE 16 PLUS,2024,A3082 / A3289 / A3291 / A3290,512GB,2700,-500,-200,-1280,-180,-380,-900
PHONE,IPHONE 16,2024,A3081 / A3286 / A3288 / A3287,128GB,1820,-500,-200,-1250,-180,-380,-800
PHONE,IPHONE 16,2024,A3081 / A3286 / A3288 / A3287,256GB,2100,-500,-200,-1250,-180,-380,-800
PHONE,IPHONE 16,2024,A3081 / A3286 / A3288 / A3287,512GB,2450,-500,-200,-1250,-180,-380,-800
PHONE,IPHONE 16e,2025,A3212 / A3408 / A3410 / A3409,128GB,1050,-500,-200,-1250,-250,-380,-800
PHONE,IPHONE 16e,2025,A3212 / A3408 / A3410 / A3409,256GB,1200,-500,-200,-1250,-250,-380,-800
PHONE,IPHONE 16e,2025,A3212 / A3408 / A3410 / A3409,512GB,1500,-500,-200,-1250,-250,-380,-800
PHONE,IPHONE 15 PRO MAX,2023,A2849 / A3105 / A3108 / A3106,256GB,2220,-350,-400,-1700,-300,-280,-400
PHONE,IPHONE 15 PRO MAX,2023,A2849 / A3105 / A3108 / A3106,512GB,2460,-350,-400,-1700,-300,-280,-400
PHONE,IPHONE 15 PRO MAX,2023,A2849 / A3105 / A3108 / A3106,1TB,2680,-350,-400,-1700,-300,-280,-400
PHONE,IPHONE 15 PRO,2023,A2848 / A3101 / A3104 / A3102,128GB,1760,-350,-400,-1600,-300,-280,-400
PHONE,IPHONE 15 PRO,2023,A2848 / A3101 / A3104 / A3102,256GB,2030,-350,-400,-1600,-300,-280,-400
PHONE,IPHONE 15 PRO,2023,A2848 / A3101 / A3104 / A3102,512GB,2160,-350,-400,-1600,-300,-280,-400
PHONE,IPHONE 15 PRO,2023,A2848 / A3101 / A3104 / A3102,1TB,2380,-350,-400,-1600,-300,-280,-400
PHONE,IPHONE 15 PLUS,2023,A2847 / A3093 / A3096 / A3094,128GB,1560,-350,-200,-1070,-150,-280,-300
PHONE,IPHONE 15 PLUS,2023,A2847 / A3093 / A3096 / A3094,256GB,1780,-350,-200,-1070,-150,-280,-300
PHONE,IPHONE 15 PLUS,2023,A2847 / A3093 / A3096 / A3094,512GB,1980,-350,-200,-1070,-150,-280,-300
PHONE,IPHONE 15,2023,A2846 / A3089 / A3092 / A3090,128GB,1470,-350,-200,-1150,-150,-280,-300
PHONE,IPHONE 15,2023,A2846 / A3089 / A3092 / A3090,256GB,1630,-350,-200,-1150,-150,-280,-300
PHONE,IPHONE 15,2023,A2846 / A3089 / A3092 / A3090,512GB,1780,-350,-200,-1150,-150,-280,-300
PHONE,IPHONE 14 PRO MAX,2022,A2651 / A2893 / A2896 / A2895 / A2894,128GB,1600,-300,-250,-1400,-200,-150,-400
PHONE,IPHONE 14 PRO MAX,2022,A2651 / A2893 / A2896 / A2895 / A2894,256GB,1720,-300,-250,-1400,-200,-150,-400
PHONE,IPHONE 14 PRO MAX,2022,A2651 / A2893 / A2896 / A2895 / A2894,512GB,1860,-300,-250,-1400,-200,-150,-400
PHONE,IPHONE 14 PRO MAX,2022,A2651 / A2893 / A2896 / A2895 / A2894,1TB,2000,-300,-250,-1400,-200,-150,-400
PHONE,IPHONE 14 PRO,2022,A2650 / A2889 / A2892 / A2891 / A2890,128GB,1350,-300,-250,-1240,-200,-150,-400
PHONE,IPHONE 14 PRO,2022,A2650 / A2889 / A2892 / A2891 / A2890,256GB,1550,-300,-250,-1240,-200,-150,-400
PHONE,IPHONE 14 PRO,2022,A2650 / A2889 / A2892 / A2891 / A2890,512GB,1620,-300,-250,-1240,-200,-150,-400
PHONE,IPHONE 14 PRO,2022,A2650 / A2889 / A2892 / A2891 / A2890,1TB,1700,-300,-250,-1240,-200,-150,-400
PHONE,IPHONE 14 PLUS,2022,A2632 / A2885 / A2888 / A2887 / A2886,128GB,1010,-300,-200,-870,-150,-150,-270
PHONE,IPHONE 14 PLUS,2022,A2632 / A2885 / A2888 / A2887 / A2886,256GB,1110,-300,-200,-870,-150,-150,-270
PHONE,IPHONE 14 PLUS,2022,A2632 / A2885 / A2888 / A2887 / A2886,512GB,1250,-300,-200,-870,-150,-150,-270
PHONE,IPHONE 14,2022,A2649 / A2881 / A2884 / A2883 / A2882,128GB,930,-300,-200,-580,-150,-150,-270
