Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Standard,iPhone 11,3599.0,,128.0,Unknown,Unknown,,390.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 11,4099.0,,256.0,Unknown,Unknown,,450.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 11,3399.0,,64.0,Unknown,Unknown,,340.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 11 Pro,5599.0,,256.0,Unknown,Unknown,,490.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 11 Pro,6499.0,,512.0,Unknown,Unknown,,575.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 11 Pro,4899.0,,64.0,Unknown,Unknown,,415.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,5999.0,,256.0,Unknown,Unknown,,550.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,6899.0,,512.0,Unknown,Unknown,,625.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,5299.0,,64.0,Unknown,Unknown,,475.0,2019,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 12,4099.0,,128.0,Unknown,Unknown,,500.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 12,4599.0,,256.0,Unknown,Unknown,,575.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 12,3899.0,,64.0,Unknown,Unknown,,450.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Mini,iPhone 12 Mini,3599.0,,128.0,Unknown,Unknown,,375.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Mini,iPhone 12 Mini,4099.0,,256.0,Unknown,Unknown,,400.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Mini,iPhone 12 Mini,3399.0,,64.0,Unknown,Unknown,,300.0,2020,A14 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 12 Pro,4899.0,,128.0,Unknown,Unknown,,625.0,2020,A14 Bionic,,,,,,,Unknown
