Standardized Model,Mac Family,RAM Configurations (GB)
Mac Mini M1 8-Core CPU & 8-Core GPU (Late 2020),Mac Mini,"8, 16"
Mac Mini M2 8-Core CPU & 10-Core GPU (Early 2023),Mac Mini,"8, 16, 24"
Mac Mini M2 Pro 10-Core CPU & 16-Core GPU (Early 2023),Mac Mini,"16, 32"
Mac Mini M2 Pro 12-Core CPU & 19-Core GPU (Early 2023),Mac Mini,"16, 32"
Mac Mini M4 10-Core CPU & 10-Core GPU (Late 2024),Mac Mini,"16, 24, 32"
Mac Mini M4 Pro 12-Core CPU & 16-Core GPU (Late 2024),Mac Mini,"24, 48, 64"
Mac Mini M4 Pro 14-Core CPU & 20-Core GPU (Late 2024),Mac Mini,"24, 48, 64"
Mac Mini i3 3.6GHz (Early 2020),Mac Mini,"8, 16, 32, 64"
Mac Mini i3 3.6GHz (Late 2018),Mac Mini,"8, 16, 32, 64"
Mac Mini i5 3.0GHz (Early 2020),Mac Mini,"8, 16, 32, 64"
Mac Mini i5 3.0GHz (Late 2018),Mac Mini,"8, 16, 32, 64"
Mac Mini i7 3.2GHz (Early 2020),Mac Mini,"8, 16, 32, 64"
Mac Mini i7 3.2GHz (Late 2018),Mac Mini,"8, 16, 32, 64"
Mac Pro M2 Ultra 24-Core CPU & 60-Core GPU (Mid 2023),Mac Pro,"64, 128, 192"
Mac Pro M2 Ultra 24-Core CPU & 60-Core GPU Rack (Mid 2023),Mac Pro,"64, 128, 192"
Mac Pro M2 Ultra 24-Core CPU & 76-Core GPU (Mid 2023),Mac Pro,"64, 128, 192"
Mac Pro M2 Ultra 24-Core CPU & 76-Core GPU Rack (Mid 2023),Mac Pro,"64, 128, 192"
Mac Studio M1 Max 10-Core CPU & 24-Core GPU (Early 2022),Mac Studio,"32, 64"
Mac Studio M1 Max 10-Core CPU & 32-Core GPU (Early 2022),Mac Studio,"32, 64"
Mac Studio M1 Ultra 20-Core CPU & 48-Core GPU (Early 2022),Mac Studio,"64, 128"
Mac Studio M1 Ultra 20-Core CPU & 64-Core GPU (Early 2022),Mac Studio,"64, 128"
Mac Studio M2 Max 12-Core CPU & 30-Core GPU (Mid 2023),Mac Studio,"32, 64, 96"
Mac Studio M2 Max 12-Core CPU & 38-Core GPU (Mid 2023),Mac Studio,"32, 64, 96"
Mac Studio M2 Ultra 24-Core CPU & 60-Core GPU (Mid 2023),Mac Studio,"64, 128, 192"
Mac Studio M2 Ultra 24-Core CPU & 76-Core GPU (Mid 2023),Mac Studio,"64, 128, 192"
Mac Studio M3 Ultra 28-Core CPU & 60‑core GPU (Early 2025),Mac Studio,"96, 192, 256"
Mac Studio M3 Ultra 32-Core CPU & 80‑core GPU (Early 2025),Mac Studio,"96, 192, 256"
Mac Studio M4 Max 14-Core CPU & 32‑core GPU (Early 2025),Mac Studio,"36, 64, 128"
Mac Studio M4 Max 16-Core CPU & 40‑core GPU (Early 2025),Mac Studio,"36, 64, 128"
MacBook Air M1 8-Core CPU & 7-Core GPU 13-inch (Late 2020),MacBook Air,"8, 16"
MacBook Air M1 8-Core CPU & 8-Core GPU 13-inch (Late 2020),MacBook Air,"8, 16"
MacBook Air M2 8-Core CPU & 10-Core GPU 13.6-inch (Mid 2022),MacBook Air,"8, 16, 24"
MacBook Air M2 8-Core CPU & 10-Core GPU 15-inch (Mid 2023),MacBook Air,"8, 16, 24"
MacBook Air M2 8-Core CPU & 8-Core GPU 13.6-inch (Mid 2022),MacBook Air,"8, 16, 24"
MacBook Air M3 8-Core CPU & 10-Core GPU 13.6-inch (Early 2024),MacBook Air,"8, 16, 24"
MacBook Air M3 8-Core CPU & 10-Core GPU 15-inch (Early 2024),MacBook Air,"8, 16, 24"
MacBook Air M3 8-Core CPU & 8-Core GPU 13.6-inch (Early 2024),MacBook Air,"8, 16, 24"
MacBook Air M4 10-Core CPU & 10-Core GPU 13-inch (Early 2025),MacBook Air,"16, 24, 32"
MacBook Air M4 10-Core CPU & 10-Core GPU 15-inch (Early 2025),MacBook Air,"16, 24, 32"
MacBook Air M4 10-Core CPU & 8-Core GPU 13-inch (Early 2025),MacBook Air,"16, 24, 32"
MacBook Air i3 1.1GHz 13-inch (Early 2020),MacBook Air,"8, 16"
MacBook Air i5 1.1GHz 13-inch (Early 2020),MacBook Air,"8, 16"
MacBook Air i5 1.6GHz 13-inch (Early 2015),MacBook Air,8
MacBook Air i5 1.6GHz 13-inch (Late 2018),MacBook Air,"8, 16"
MacBook Air i5 1.6GHz 13-inch (Mid 2019),MacBook Air,"8, 16"
MacBook Air i5 1.8GHz 13-inch (Mid 2017),MacBook Air,"8, 16"
MacBook Air i7 1.2GHz 13-inch (Early 2020),MacBook Air,"8, 16"
MacBook Air i7 2.2GHz 13-inch (Early 2015),MacBook Air,8
MacBook Air i7 2.2GHz 13-inch (Mid 2017),MacBook Air,"8, 16"
MacBook M3 1.1GHz 12-inch (Early 2016),MacBook,8
MacBook M3 1.2GHz 12-inch (Mid 2017),MacBook,"8, 16"
MacBook M5 1.2GHz 12-inch (Early 2016),MacBook,8
MacBook M7 1.3GHz 12-inch (Early 2016),MacBook,8
MacBook Pro 14-inch M1 Max 10-Core CPU & 24-Core GPU (2021),MacBook Pro,"32, 64"
MacBook Pro 14-inch M1 Max 10-Core CPU & 32-Core GPU (2021),MacBook Pro,"32, 64"
MacBook Pro 14-inch M1 Pro 10-Core CPU & 14-Core GPU (2021),MacBook Pro,"16, 32"
MacBook Pro 14-inch M1 Pro 10-Core CPU & 16-Core GPU (2021),MacBook Pro,"16, 32"
MacBook Pro 14-inch M1 Pro 8-Core CPU & 14-Core GPU (2021),MacBook Pro,"16, 32"
MacBook Pro 16-inch M1 Max 10-Core CPU & 24-Core GPU (2021),MacBook Pro,"32, 64"
MacBook Pro 16-inch M1 Max 10-Core CPU & 32-Core GPU (2021),MacBook Pro,"32, 64"
MacBook Pro 16-inch M1 Pro 10-Core CPU & 16-Core GPU (2021),MacBook Pro,"16, 32"
MacBook Pro M1 8-Core CPU & 8-Core GPU 13-inch (Late 2020),MacBook Pro,"8, 16"
MacBook Pro M2 8-Core CPU & 10-Core GPU 13-inch (Mid 2022),MacBook Pro,"8, 16, 24"
MacBook Pro M2 Max 12-Core CPU & 30-Core GPU 14-inch (Early 2023),MacBook Pro,"32, 64"
