Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
CompAsia,iPhone,iPhone,iPhone 11,,128 GB,,,,390
CompAsia,iPhone,iPhone,iPhone 11,,256 GB,,,,450
CompAsia,iPhone,iPhone,iPhone 11,,64 GB,,,,340
CompAsia,iPhone,iPhone,iPhone 11 Pro,,256 GB,,,,490
CompAsia,iPhone,iPhone,iPhone 11 Pro,,512 GB,,,,575
CompAsia,iPhone,iPhone,iPhone 11 Pro,,64 GB,,,,415
CompAsia,iPhone,iPhone,iPhone 11 Pro Max,,256 GB,,,,550
CompAsia,iPhone,iPhone,iPhone 11 Pro Max,,512 GB,,,,625
CompAsia,iPhone,iPhone,iPhone 11 Pro Max,,64 GB,,,,475
CompAsia,iPhone,iPhone,iPhone 12,,128 GB,,,,500
CompAsia,iPhone,iPhone,iPhone 12,,256 GB,,,,575
CompAsia,iPhone,iPhone,iPhone 12,,64 GB,,,,450
CompAsia,iPhone,iPhone,iPhone 12 Mini,,128 GB,,,,375
CompAsia,iPhone,iPhone,iPhone 12 Mini,,256 GB,,,,400
CompAsia,iPhone,iPhone,iPhone 12 Mini,,64 GB,,,,300
CompAsia,iPhone,iPhone,iPhone 12 Pro,,128 GB,,,,625
CompAsia,iPhone,iPhone,iPhone 12 Pro,,256 GB,,,,700
CompAsia,iPhone,iPhone,iPhone 12 Pro,,512 GB,,,,750
CompAsia,iPhone,iPhone,iPhone 12 Pro Max,,128 GB,,,,800
CompAsia,iPhone,iPhone,iPhone 12 Pro Max,,256 GB,,,,900
CompAsia,iPhone,iPhone,iPhone 12 Pro Max,,512 GB,,,,975
CompAsia,iPhone,iPhone,iPhone 13,,128 GB,,,,740
CompAsia,iPhone,iPhone,iPhone 13,,256 GB,,,,840
CompAsia,iPhone,iPhone,iPhone 13,,512 GB,,,,900
CompAsia,iPhone,iPhone,iPhone 13 Mini,,128 GB,,,,550
CompAsia,iPhone,iPhone,iPhone 13 Mini,,256 GB,,,,600
CompAsia,iPhone,iPhone,iPhone 13 Mini,,512 GB,,,,675
CompAsia,iPhone,iPhone,iPhone 13 Pro,,128 GB,,,,975
CompAsia,iPhone,iPhone,iPhone 13 Pro,,1 TB,,,,1250
CompAsia,iPhone,iPhone,iPhone 13 Pro,,256 GB,,,,1050
CompAsia,iPhone,iPhone,iPhone 13 Pro,,512 GB,,,,1140
CompAsia,iPhone,iPhone,iPhone 13 Pro Max,,128 GB,,,,1100
CompAsia,iPhone,iPhone,iPhone 13 Pro Max,,1 TB,,,,1450
CompAsia,iPhone,iPhone,iPhone 13 Pro Max,,256 GB,,,,1275
CompAsia,iPhone,iPhone,iPhone 13 Pro Max,,512 GB,,,,1325
CompAsia,iPhone,iPhone,iPhone 14,,128 GB,,,,925
CompAsia,iPhone,iPhone,iPhone 14,,256 GB,,,,1000
CompAsia,iPhone,iPhone,iPhone 14,,512 GB,,,,1100
CompAsia,iPhone,iPhone,iPhone 14 (eSIM),,128 GB,,,,850
CompAsia,iPhone,iPhone,iPhone 14 (eSIM),,256 GB,,,,935
CompAsia,iPhone,iPhone,iPhone 14 (eSIM),,512 GB,,,,1020
CompAsia,iPhone,iPhone,iPhone 14 Plus,,128 GB,,,,1000
CompAsia,iPhone,iPhone,iPhone 14 Plus,,256 GB,,,,1100
CompAsia,iPhone,iPhone,iPhone 14 Plus,,512 GB,,,,1225
CompAsia,iPhone,iPhone,iPhone 14 Plus (eSIM),,128 GB,,,,895
CompAsia,iPhone,iPhone,iPhone 14 Plus (eSIM),,256 GB,,,,985
CompAsia,iPhone,iPhone,iPhone 14 Plus (eSIM),,512 GB,,,,1080
CompAsia,iPhone,iPhone,iPhone 14 Pro,,128 GB,,,,1325
CompAsia,iPhone,iPhone,iPhone 14 Pro,,1 TB,,,,1675
CompAsia,iPhone,iPhone,iPhone 14 Pro,,512 GB,,,,1600
CompAsia,iPhone,iPhone,iPhone 14 Pro (eSIM),,128 GB,,,,1140
CompAsia,iPhone,iPhone,iPhone 14 Pro (eSIM),,1 TB,,,,1465
CompAsia,iPhone,iPhone,iPhone 14 Pro (eSIM),,256 GB,,,,1310
CompAsia,iPhone,iPhone,iPhone 14 Pro (eSIM),,512 GB,,,,1375
CompAsia,iPhone,iPhone,iPhone 14 Pro Max,,128 GB,,,,1575
CompAsia,iPhone,iPhone,iPhone 14 Pro Max,,1 TB,,,,1975
CompAsia,iPhone,iPhone,iPhone 14 Pro Max,,256 GB,,,,1700
CompAsia,iPhone,iPhone,iPhone 14 Pro Max,,512 GB,,,,1835
CompAsia,iPhone,iPhone,iPhone 14 Pro Max (eSIM),,128 GB,,,,1350
CompAsia,iPhone,iPhone,iPhone 14 Pro Max (eSIM),,1 TB,,,,1700
CompAsia,iPhone,iPhone,iPhone 14 Pro Max (eSIM),,256 GB,,,,1445
CompAsia,iPhone,iPhone,iPhone 14 Pro Max (eSIM),,512 GB,,,,1560
CompAsia,iPhone,iPhone,iPhone 15,,128 GB,,,,1460
CompAsia,iPhone,iPhone,iPhone 15,,256 GB,,,,1625
CompAsia,iPhone,iPhone,iPhone 15,,512 GB,,,,1775
CompAsia,iPhone,iPhone,iPhone 15 (eSIM),,128 GB,,,,1210
CompAsia,iPhone,iPhone,iPhone 15 (eSIM),,256 GB,,,,1320
CompAsia,iPhone,iPhone,iPhone 15 (eSIM),,512 GB,,,,1445
CompAsia,iPhone,iPhone,iPhone 15 Plus,,128 GB,,,,1550
CompAsia,iPhone,iPhone,iPhone 15 Plus,,256 GB,,,,1775
CompAsia,iPhone,iPhone,iPhone 15 Plus (eSIM),,128 GB,,,,1295
CompAsia,iPhone,iPhone,iPhone 15 Plus (eSIM),,256 GB,,,,1440
CompAsia,iPhone,iPhone,iPhone 15 Plus (eSIM),,512 GB,,,,1640
CompAsia,iPhone,iPhone,iPhone 15 Pro,,128 GB,,,,1725
CompAsia,iPhone,iPhone,iPhone 15 Pro,,1 TB,,,,2350
CompAsia,iPhone,iPhone,iPhone 15 Pro,,256 GB,,,,2000
CompAsia,iPhone,iPhone,iPhone 15 Pro,,512 GB,,,,2125
CompAsia,iPhone,iPhone,iPhone 15 Pro (eSIM),,128 GB,,,,1535
CompAsia,iPhone,iPhone,iPhone 15 Pro (eSIM),,1 TB,,,,2050
CompAsia,iPhone,iPhone,iPhone 15 Pro (eSIM),,256 GB,,,,1665
CompAsia,iPhone,iPhone,iPhone 15 Pro (eSIM),,512 GB,,,,1830
CompAsia,iPhone,iPhone,iPhone 15 Pro Max,,1 TB,,,,2650
CompAsia,iPhone,iPhone,iPhone 15 Pro Max,,256 GB,,,,2200
CompAsia,iPhone,iPhone,iPhone 15 Pro Max,,512 GB,,,,2425
CompAsia,iPhone,iPhone,iPhone 15 Pro Max (eSIM),,1 TB,,,,2340
CompAsia,iPhone,iPhone,iPhone 15 Pro Max (eSIM),,256 GB,,,,1830
CompAsia,iPhone,iPhone,iPhone 15 Pro Max (eSIM),,512 GB,,,,2090
CompAsia,iPhone,iPhone,iPhone 16,,128 GB,,,,1800
CompAsia,iPhone,iPhone,iPhone 16,,256 GB,,,,2075
CompAsia,iPhone,iPhone,iPhone 16,,512 GB,,,,2430
CompAsia,iPhone,iPhone,iPhone 16e,,128 GB,,,,1125
CompAsia,iPhone,iPhone,iPhone 16e,,256 GB,,,,1275
CompAsia,iPhone,iPhone,iPhone 16e,,512 GB,,,,1675
CompAsia,iPhone,iPhone,iPhone 16e (eSIM),,128 GB,,,,1065
CompAsia,iPhone,iPhone,iPhone 16e (eSIM),,256 GB,,,,1225
CompAsia,iPhone,iPhone,iPhone 16e (eSIM),,512 GB,,,,1590
CompAsia,iPhone,iPhone,iPhone 16 (eSIM),,128 GB,,,,1570
CompAsia,iPhone,iPhone,iPhone 16 (eSIM),,256 GB,,,,1785
CompAsia,iPhone,iPhone,iPhone 16 (eSIM),,512 GB,,,,2065
CompAsia,iPhone,iPhone,iPhone 16 Plus,,128 GB,,,,2120
CompAsia,iPhone,iPhone,iPhone 16 Plus,,256 GB,,,,2335
CompAsia,iPhone,iPhone,iPhone 16 Plus,,512 GB,,,,2690
CompAsia,iPhone,iPhone,iPhone 16 Plus (eSIM),,128 GB,,,,1800
CompAsia,iPhone,iPhone,iPhone 16 Plus (eSIM),,256 GB,,,,1985
CompAsia,iPhone,iPhone,iPhone 16 Plus (eSIM),,512 GB,,,,2285
CompAsia,iPhone,iPhone,iPhone 16 Pro,,128 GB,,,,2300
CompAsia,iPhone,iPhone,iPhone 16 Pro,,1 TB,,,,3400
CompAsia,iPhone,iPhone,iPhone 16 Pro,,256 GB,,,,2525
CompAsia,iPhone,iPhone,iPhone 16 Pro,,512 GB,,,,2925
CompAsia,iPhone,iPhone,iPhone 16 Pro (eSIM),,128 GB,,,,2110
CompAsia,iPhone,iPhone,iPhone 16 Pro (eSIM),,1 TB,,,,2945
CompAsia,iPhone,iPhone,iPhone 16 Pro (eSIM),,256 GB,,,,2295
CompAsia,iPhone,iPhone,iPhone 16 Pro (eSIM),,512 GB,,,,2600
CompAsia,iPhone,iPhone,iPhone 16 Pro Max,,1 TB,,,,3675
CompAsia,iPhone,iPhone,iPhone 16 Pro Max,,256 GB,,,,3075
CompAsia,iPhone,iPhone,iPhone 16 Pro Max,,512 GB,,,,3300
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,1 TB,,,,3245
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,256 GB,,,,2665
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,512 GB,,,,2940
CompAsia,iPhone,iPhone,iPhone 17,,256 GB,,,,2135
CompAsia,iPhone,iPhone,iPhone 17,,512 GB,,,,2670
CompAsia,iPhone,iPhone,iPhone 17 Pro,,1 TB,,,,4100
CompAsia,iPhone,iPhone,iPhone 17 Pro,,256 GB,,,,3035
CompAsia,iPhone,iPhone,iPhone 17 Pro,,512 GB,,,,3570
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,1 TB,,,,4370
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,256 GB,,,,3300
