Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Standard,iPhone 11,,128 GB,,,,390,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 11,,256 GB,,,,450,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 11,,64 GB,,,,340,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 11 Pro,,256 GB,,,,490,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 11 Pro,,512 GB,,,,575,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 11 Pro,,64 GB,,,,415,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,,256 GB,,,,550,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,,512 GB,,,,625,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 11 Pro Max,,64 GB,,,,475,2019,A13 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 12,,128 GB,,,,500,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 12,,256 GB,,,,575,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 12,,64 GB,,,,450,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 12 Mini,,128 GB,,,,375,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 12 Mini,,256 GB,,,,400,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 12 Mini,,64 GB,,,,300,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 12 Pro,,128 GB,,,,625,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 12 Pro,,256 GB,,,,700,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 12 Pro,,512 GB,,,,750,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 12 Pro Max,,128 GB,,,,800,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 12 Pro Max,,256 GB,,,,900,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 12 Pro Max,,512 GB,,,,975,2020,A14 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 13,,128 GB,,,,740,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 13,,256 GB,,,,840,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 13,,512 GB,,,,900,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 13 Mini,,128 GB,,,,550,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 13 Mini,,256 GB,,,,600,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Mini,iPhone 13 Mini,,512 GB,,,,675,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 13 Pro,,128 GB,,,,975,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 13 Pro,,1 TB,,,,1250,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 13 Pro,,256 GB,,,,1050,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 13 Pro,,512 GB,,,,1140,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 13 Pro Max,,128 GB,,,,1100,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 13 Pro Max,,1 TB,,,,1450,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 13 Pro Max,,256 GB,,,,1275,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro Max,iPhone 13 Pro Max,,512 GB,,,,1325,2021,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14,,128 GB,,,,925,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14,,256 GB,,,,1000,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14,,512 GB,,,,1100,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14 (eSIM),,128 GB,,,,850,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14 (eSIM),,256 GB,,,,935,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Standard,iPhone 14 (eSIM),,512 GB,,,,1020,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus,,128 GB,,,,1000,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus,,256 GB,,,,1100,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus,,512 GB,,,,1225,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),,128 GB,,,,895,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),,256 GB,,,,985,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Plus,iPhone 14 Plus (eSIM),,512 GB,,,,1080,2022,A15 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro,,128 GB,,,,1325,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro,,1 TB,,,,1675,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro,,512 GB,,,,1600,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),,128 GB,,,,1140,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),,1 TB,,,,1465,2022,A16 Bionic,,,,,,,
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),,256 GB,,,,1310,2022,A16 Bionic,,,,,,,
